,Name,Description,Ingredients,Portions,Likes,Dislikes,Saved,Calories,Protein,Fat,Carbs,Duration,Cuisine,cuisine_encoded,Dietary_Focus,Dish_Type,calories_per_portion,Time_Effort,Ingredients_List,Calories_std,Protein_std,Fat_std,Duration_std,Portions_std,Likes_std,Dislikes_std,Saved_std
10,Азу по-татарски,"Азу по-татарски. Одно из немногих блюд, удостоившихся в советской продуктовой традиции продажи с именной нарезкой. И до сих пор в кулинариях и супермаркетах можно найти говядину, которую режут соломкой и продают как азу. Насчет самого блюда до сих пор идут споры, как и с чем готовить: использовать говядину или баранину, топленое или обычное масло, тушить в казане или сотейнике с толстым дном. Редакций этого блюда может быть много, но основа его всегда неизменна — это нарезанное соломкой мясо, картофель и томатный соус.","['Говядина (500 г)', ' Репчатый лук (5 головка)', ' Соленые огурцы (3 штука)', ' Томатная паста  (2 столовая ложка)', ' Картофель (1 кг)', ' Мясной бульон (1 стакан)', ' Чеснок (3 зубчик)', ' Растительное масло (50 мл)']",4,1221,97,15879,637.1,32.7,29.4,65.9,30,Татарская кухня,73,High Carbs,main-courses,159.28,Standard,"[""'Говядина (500 г)'"", "" ' Репчатый лук (5 головка)'"", "" ' Соленые огурцы (3 штука)'"", "" ' Томатная паста  (2 столовая ложка)'"", "" ' Картофель (1 кг)'"", "" ' Мясной бульон (1 стакан)'"", "" ' Чеснок (3 зубчик)'"", "" ' Растительное масло (50 мл)'""]",0.6137190357704567,0.6779223476150464,0.1273707332954559,-0.3638122059438823,-0.4001249620730987,10.09257681354584,6.521361722630336,10.216467357808025
11,Американские панкейки с корицей,"Панкейки — пирожные на сковородке, если перевести, — круглые пышные блинчики, которые принято складывать стопочкой по четыре-пять штук на порцию, поливать кленовым сиропом или растопленным сливочным маслом и есть на завтрак. Тесто для панкейков, правда, готовится не слишком быстро: чтобы добиться правильной пористой структуры, придется отдельно взбивать белки. В этот рецепт для выразительности добавили корицу, а так панкейки можно делать самых разнообразных вкусов — например, добавляя банановое пюре или какао.
","['Пшеничная мука (240 г)', ' Молоко (220 мл)', ' Сахар (2 столовая ложка)', ' Куриное яйцо (4 штука)', ' Соль (0 щепотка)', ' Гашеная сода (0.2 чайная ложка)', ' Молотая корица (0 по вкусу)']",4,753,100,12661,366.4,14.9,9.2,56.0,30,Американская кухня,5,High Carbs,breakfasts,91.6,Standard,"[""'Пшеничная мука (240 г)'"", "" ' Молоко (220 мл)'"", "" ' Сахар (2 столовая ложка)'"", "" ' Куриное яйцо (4 штука)'"", "" ' Соль (0 щепотка)'"", "" ' Гашеная сода (0.2 чайная ложка)'"", "" ' Молотая корица (0 по вкусу)'""]",-0.3896473986855916,-0.2551154729556215,-0.7359638336755236,-0.3638122059438823,-0.4001249620730987,6.104164493419899,6.733325249633151,8.049388796479564
12,Творожный кекс с яйцами,"Творожный кекс — простейший способ приготовить сладкое к завтраку или десерт к дачному или простому домашнему обеду. Творог для кекса лучше брать жирный, это тот случай, когда надо попытаться съесть мало выпечки, а не уменьшать ее калорийность. Творожный кекс можно разнообразить всяческими наполнителями — добавить изюм, орехи или лимонную цедру. Готовится десерт в духовке от получаса, в зависимости от размера выбранной формы. В конце кекс можно посыпать сахарной пудрой — приятный бонус для любителей сладкого.","['Творог (200 г)', ' Сметана (2 столовая ложка)', ' Куриное яйцо (2 штука)', ' Сливочное масло (2 столовая ложка)', ' Пшеничная мука (1 стакан)', ' Сахар (1 стакан)', ' Соль (0 по вкусу)', ' Разрыхлитель (0.5 чайная ложка)']",4,1122,137,14244,545.1,16.2,18.0,79.6,30,Британская кухня,15,High Carbs,baking-desserts,136.28,Standard,"[""'Творог (200 г)'"", "" ' Сметана (2 столовая ложка)'"", "" ' Куриное яйцо (2 штука)'"", "" ' Сливочное масло (2 столовая ложка)'"", "" ' Пшеничная мука (1 стакан)'"", "" ' Сахар (1 стакан)'"", "" ' Соль (0 по вкусу)'"", "" ' Разрыхлитель (0.5 чайная ложка)'""]",0.2727152974255863,-0.1869722613409098,-0.3598576856881662,-0.3638122059438823,-0.4001249620730987,9.248874207365352,9.34754208266788,9.115419052098876
13,Картофель «Айдахо»,"Картофель «Айдахо» — один из самых часто приготовляемых картофельных гарниров в мире. Несмотря на свое американское происхождение и оригинальное название (просто картофель там основная сельскохозяйственная культура), в России его больше знают как картофель по-деревенски. Чаще всего он подается к жареному мясу. Мясо может быть в любой форме: стейк, бургер, тонкая соломка. Впрочем, «Айдахо» вполне убедителен и без протеиновых скреп. Сам по себе. Как свой собственный штат Айдахо.","['Молодой картофель (10 штука)', ' Оливковое масло extra virgin (250 мл)', ' Укроп (1 пучок)', ' Петрушка (1 пучок)', ' Чеснок (3 зубчик)', ' TABASCO® Оригинальный красный (1 чайная ложка)', ' Соль (0 по вкусу)']",3,850,70,13967,977.7,9.6,84.7,46.1,60,Американская кухня,5,High Fat,main-courses,325.9,Standard,"[""'Молодой картофель (10 штука)'"", "" ' Оливковое масло extra virgin (250 мл)'"", "" ' Укроп (1 пучок)'"", "" ' Петрушка (1 пучок)'"", "" ' Чеснок (3 зубчик)'"", "" ' TABASCO® Оригинальный красный (1 чайная ложка)'"", "" ' Соль (0 по вкусу)'""]",1.8761741801211405,-0.5329301049232923,2.4908559587160086,0.034861344130322,-0.6578378063814194,6.930822602505831,4.613689979604993,8.928880592966502
14,Фриттата с брокколи и сладким перцем,"Фриттата с брокколи и сладким перцем — классический итальянский омлет. Главный ингредиент здесь не яйца, а крупно нарезанные овощи, поэтому их должно быть много. Яйца только фиксируют конструкцию. Получается объемное, рельефное и красивое блюдо. Фриттата сначала жарится на сковороде, а потом отправляется в духовку — чтобы застыла серединка, и края при этом не пересушились. Если духовки нет, плотно накройте сковородку крышкой, а огонь убавьте. Существует немало разновидностей фриттаты. В Неаполе в нее добавляют даже макароны.","['Куриное яйцо (6 штука)', ' Сладкий перец (3 штука)', ' Красный лук (1 головка)', ' Петрушка (20 г)', ' Капуста брокколи (150 г)', ' Лимон (0.25 штука)', ' Оливковое масло (50 мл)', ' Чеснок (2 зубчик)', ' Сливочное масло (30 г)', ' Тимьян (1 пучок)', ' Мускатный орех (0 по вкусу)', ' Паприка (0 по вкусу)', ' Соль (0 по вкусу)', ' Молотый черный перец (0 по вкусу)']",4,430,37,11919,377.6,15.3,28.8,13.7,15,Итальянская кухня,32,High Fat,breakfasts,94.4,Express,"[""'Куриное яйцо (6 штука)'"", "" ' Сладкий перец (3 штука)'"", "" ' Красный лук (1 головка)'"", "" ' Петрушка (20 г)'"", "" ' Капуста брокколи (150 г)'"", "" ' Лимон (0.25 штука)'"", "" ' Оливковое масло (50 мл)'"", "" ' Чеснок (2 зубчик)'"", "" ' Сливочное масло (30 г)'"", "" ' Тимьян (1 пучок)'"", "" ' Мускатный орех (0 по вкусу)'"", "" ' Паприка (0 по вкусу)'"", "" ' Соль (0 по вкусу)'"", "" ' Молотый черный перец (0 по вкусу)'""]",-0.3481339001044768,-0.2341483309203255,0.1017271322963179,-0.5631489809809845,-0.4001249620730987,3.3514782126492157,2.2820911825740176,7.549708158659266
15,Домашний рататуй,"Рататуй — французское блюдо, принадлежащее к прованской кухне, в классическом варианте готовится из свежего перца, сладких томатов, лука, чеснока и, конечно, кабачков. Первые упоминания о нем датируются 18 веком, когда блюдо было популярно среди бедных крестьян. Сегодня в рататуй добавляют баклажаны, которые ощутимо добавляют ему сытости. Важный элемент блюда — травы. В прованской кухне вкус привычных продуктов всегда раскрывается с новой стороны с помощью специй и трав. В рататуй можно добавить мускусную ноту трюфеля — любимого кулинарного парфюма всех поваров; розмарин с его глубоким, насыщенным ароматом; свежесть мяты и базилика. Похожие блюда существуют и в других кухнях мира: в Италии разновидность овощного рататуя называется капоната, в Испании — писто, а в Каталонии — самфайна. Рататуй по этому видеорецепту получается ароматным, сытным и красивым. Его можно есть горячим и холодным, он идеален для баранины с козьим сыром, рисом и яйцом и так же хорош в качестве самостоятельного блюда.  ","['Баклажаны (2 штука)', ' Желтый сладкий перец (1 штука)', ' Красный сладкий перец (1 штука)', ' Репчатый лук (1 головка)', ' Чеснок (2 зубчик)', ' Помидоры (2 штука)', ' Сахар (0 щепотка)', ' Оливковое масло (50 мл)', ' Томатная паста  (0.5 чайная ложка)', ' Петрушка (10 г)', ' Соль (0 по вкусу)', ' Молотый черный перец (0 по вкусу)']",4,700,60,12894,191.1,3.5,12.7,16.1,25,Французская кухня,80,Low Calorie,main-courses,47.78,Standard,"[""'Баклажаны (2 штука)'"", "" ' Желтый сладкий перец (1 штука)'"", "" ' Красный сладкий перец (1 штука)'"", "" ' Репчатый лук (1 головка)'"", "" ' Чеснок (2 зубчик)'"", "" ' Помидоры (2 штука)'"", "" ' Сахар (0 щепотка)'"", "" ' Оливковое масло (50 мл)'"", "" ' Томатная паста  (0.5 чайная ложка)'"", "" ' Петрушка (10 г)'"", "" ' Соль (0 по вкусу)'"", "" ' Молотый черный перец (0 по вкусу)'""]",-1.0394077827275023,-0.8526790209615548,-0.5863761611805519,-0.4302577976229164,-0.4001249620730987,5.652485320414183,3.907144889595606,8.206296597843618
16,Брускетта с помидорами,"Брускетта с помидорами – вкусная итальянская закуска, а также простейший способ положить что-то на зуб, почувствовать легкую сытость, но обойтись при этом без переедания. Кроме того, брускетты всегда выглядят очень нарядно. И приготовление их занимает минимум времени. Самое популярное сочетание —поджаренный хлеб, помидоры, чеснок и базилик. Если нет времени бланшировать помидоры на сковороде, можно заменить их на вяленые томаты. Для приготовления итальянской брускетты лучше взять чиабатту — ее ломтики после поджарки хорошо впитают оливковое масло. 
","['Белый хлеб (4 кусок)', ' Помидоры (3 штука)', ' Оливковое масло (30 мл)', ' Чеснок (3 зубчик)', ' Бальзамический крем (10 г)', ' Свежемолотый черный перец (0 по вкусу)', ' Соль (0 по вкусу)', ' Зелень (30 г)']",4,913,51,12604,132.1,2.3,7.8,13.1,10,Итальянская кухня,32,Low Calorie,appetizers,33.02,Express,"[""'Белый хлеб (4 кусок)'"", "" ' Помидоры (3 штука)'"", "" ' Оливковое масло (30 мл)'"", "" ' Чеснок (3 зубчик)'"", "" ' Бальзамический крем (10 г)'"", "" ' Свежемолотый черный перец (0 по вкусу)'"", "" ' Соль (0 по вкусу)'"", "" ' Зелень (30 г)'""]",-1.2580949627530171,-0.9155804470674426,-0.7957989026735123,-0.6295945726600185,-0.4001249620730987,7.4677242609843235,3.2712543085871584,8.011003626188785
17,Пирог «Зебра»,"Яйца взбить с сахаром до белой пены.  Добавить 2 стакана просеянной муки, соду, растопленное остывшее сливочное масло, сметану и тщательно перемешать (лучше миксером).  Тесто разделить на две равные части","['Сахар (2 стакан)', ' Куриное яйцо (5 штука)', ' Сливочное масло (200 г)', ' Сметана (1 банка)', ' Пшеничная мука (2 стакан)', ' Какао-порошок (2 столовая ложка)', ' Гашеная сода (1 чайная ложка)']",8,1302,159,12525,622.5,9.6,29.4,79.9,30,Французская кухня,80,High Carbs,baking-desserts,77.81,Standard,"[""'Сахар (2 стакан)'"", "" ' Куриное яйцо (5 штука)'"", "" ' Сливочное масло (200 г)'"", "" ' Сметана (1 банка)'"", "" ' Пшеничная мука (2 стакан)'"", "" ' Какао-порошок (2 столовая ложка)'"", "" ' Гашеная сода (1 чайная ложка)'""]",0.5596032251200751,-0.5329301049232923,0.1273707332954559,-0.3638122059438823,0.6307264151601841,10.78287894587533,10.90194128068853,7.957803127013848
18,Маффины с голубикой и мускатным орехом,"Культовая ягода, которую научились производить круглый год, в сочетании с рыхлым тестом — это абсолютно беспроигрышный вариант. Маффины с голубикой (да и не только с этой ягодой) стали популярным десертом в Англии и Америке, хотя происхождение их французское. Да и вообще эти маленькие сладкие кексы, какими мы их знаем сейчас, задумывались как обычный хлеб и на вкус были нейтральны. Сегодня существуют сотни рецептов этой выпечки: дрожжевые или с разрыхлителем, с использованием молока или сметаны, сладкие или соленые, с жидким центром или без. Этот ароматный хлеб хорош во всех своих проявлениях.","['Сливочное масло (110 г)', ' Пшеничная мука (290 г)', ' Разрыхлитель (2 чайная ложка)', ' Соль (0 щепотка)', ' Сахар (250 г)', ' Голубика (1 стакан)', ' Куриное яйцо (2 штука)', ' Ванильный экстракт (2 чайная ложка)', ' Молоко (120 мл)', ' Мускатный орех (0.25 чайная ложка)']",12,1219,85,10650,268.6,4.1,9.4,41.3,35,Французская кухня,80,Low Calorie,baking-desserts,22.38,Standard,"[""'Сливочное масло (110 г)'"", "" ' Пшеничная мука (290 г)'"", "" ' Разрыхлитель (2 чайная ложка)'"", "" ' Соль (0 щепотка)'"", "" ' Сахар (250 г)'"", "" ' Голубика (1 стакан)'"", "" ' Куриное яйцо (2 штука)'"", "" ' Ванильный экстракт (2 чайная ложка)'"", "" ' Молоко (120 мл)'"", "" ' Мускатный орех (0.25 чайная ложка)'""]",-0.752149198795682,-0.821228307908611,-0.7274159666758109,-0.2973666142648483,1.6615777923934671,10.075532316451286,5.673507614619072,6.695133051659323
19,Пирог с капустой,"Еще одна бронебойная закуска — горячая или холодная, в зависимости от вашего желания. Один из немногих пирогов, которые не сильно уступают самим себе на следующий день или даже через день после приготовления.","['Белокочанная капуста (1 штука)', ' Оливковое масло (50 мл)', ' Куриное яйцо (2 штука)', ' Сливочное масло (270 г)', ' Молоко (400 мл)', ' Крупная соль (1.5 столовая ложка)', ' Пшеничная мука (500 г)', ' Сахар (2 столовая ложка)', ' Свежие дрожжи (22 г)']",6,777,48,9879,840.4,16.0,51.3,79.3,80,Русская кухня,63,High Carbs,baking-desserts,140.07,Time-Consuming,"[""'Белокочанная капуста (1 штука)'"", "" ' Оливковое масло (50 мл)'"", "" ' Куриное яйцо (2 штука)'"", "" ' Сливочное масло (270 г)'"", "" ' Молоко (400 мл)'"", "" ' Крупная соль (1.5 столовая ложка)'"", "" ' Пшеничная мука (500 г)'"", "" ' Сахар (2 столовая ложка)'"", "" ' Свежие дрожжи (22 г)'""]",1.367263166265154,-0.1974558323585577,1.063362169763993,0.3006437108464582,0.1153007265435427,6.308698458554562,3.0592907815843424,6.175923116673543
